game_id,Date,tournament,speed,opening,color,rating,opponent_rating,game_ending,winner,analysis,accuracy,inaccuracy,mistake,blunder
OrSrta0L,07/23/2022,False,blitz,Old Indian Defense,white,1991,1990,outoftime,black,,,,,
uVKeTuCu,07/23/2022,False,blitz,Benko Gambit: Zaitsev System,white,1985,1980,mate,white,,,,,
am06u3Uo,07/23/2022,False,blitz,Pirc Defense: Classical Variation,black,1979,1985,mate,black,,,,,
i8Wd6fHP,07/23/2022,False,blitz,Indian Defense: Budapest Defense,white,1985,1982,resign,black,,,,,
60FfSFLV,07/23/2022,False,blitz,Modern Defense,black,1979,1979,mate,black,,,,,
lXSUbM2u,07/23/2022,False,blitz,Borg Defense: Borg Gambit,black,1974,1950,resign,black,,,,,
eSLL4ePx,07/23/2022,False,blitz,King's Indian Defense: Normal Variation,white,1980,1965,resign,black,,,,,
CbSblHog,07/23/2022,False,blitz,Borg Defense,black,1985,2029,resign,white,,,,,
avvGVepg,07/23/2022,False,blitz,Pirc Defense,black,1980,1955,resign,black,,,,,
vW0JNKMD,07/23/2022,False,blitz,Queen's Gambit Declined,white,1974,1961,resign,white,,,,,
budz1Gr1,07/23/2022,False,blitz,Pirc Defense,black,1980,1955,outoftime,white,,,,,
1HKGA5Mz,07/23/2022,False,blitz,Horwitz Defense,white,1987,1948,resign,black,,,,,
V6VhLrgI,07/23/2022,False,blitz,Pirc Defense,black,1982,1946,resign,black,,,,,
ddEc3qDD,07/23/2022,False,blitz,Van't Kruijs Opening,black,1988,1959,mate,white,,,,,
uWLuNaln,07/23/2022,False,blitz,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation",white,1994,1967,resign,black,,,,,
xwd6wgjW,07/23/2022,False,blitz,Vienna Game: Vienna Gambit,black,1994,1975,draw,,,,,,
7S0WkE6v,07/23/2022,False,blitz,English Defense,white,1988,1997,mate,white,0 90 34 30 12 90 94 132 75 153 143 172 134 154 136 127 124 480 364 505 479 542 544 540 522 534 225 387 387 383 308 359 363 436 263 300 199 186 201 255 55 189 165 448 426 577 449 456 440 512 488 ,48.0,5.0,1.0,2.0
0zgYAfJR,07/23/2022,False,blitz,King's Indian Defense: Normal Variation,black,1989,1938,draw,,,,,,
gcdOqr8f,07/23/2022,False,blitz,Indian Defense: Anti-Nimzo-Indian,white,1995,1963,outoftime,black,,,,,
ewPieEIy,07/23/2022,False,blitz,Dutch Defense: Queen's Knight Variation,white,1990,1963,resign,white,,,,,
YilFv420,07/22/2022,False,blitz,Modern Defense,black,1984,1985,outoftime,black,,,,,
qb4iOQ0e,07/22/2022,False,blitz,Queen's Indian Defense,white,1992,1900,outoftime,black,,,,,
Iiiygj0x,07/22/2022,False,blitz,King's Indian Defense: Four Pawns Attack,black,1997,2025,resign,white,,,,,
5N2xHtF6,07/22/2022,False,blitz,Queen's Gambit Declined,white,2003,2000,resign,black,,,,,
JNge49Yx,07/22/2022,False,blitz,English Opening: Great Snake Variation,black,1996,2051,outoftime,black,,,,,
nBsE8iOe,07/22/2022,False,blitz,Queen's Gambit Accepted: Old Variation,white,2001,2021,outoftime,black,,,,,
gdSLPddk,07/22/2022,False,blitz,King's Indian Defense: Smyslov Variation,black,2007,1979,resign,white,,,,,
hfN5XQRB,07/22/2022,False,blitz,Modern Defense,white,2003,1935,outoftime,white,,,,,
VkR4LH2z,07/22/2022,False,blitz,Pirc Defense: Roscher Gambit,black,1997,1993,resign,black,,,,,
RARsZK5j,07/22/2022,False,blitz,Russian Game: Nimzowitsch Attack,black,1998,1966,outoftime,,33 12 19 50 34 37 35 25 22 13 33 25 3 50 37 40 41 43 18 27 -68 -11 -19 -18 -74 25 20 12 -36 -36 -102 -46 -47 -59 -53 -59 -47 -63 -44 -65 -70 -49 -60 -64 -67 -62 -61 -56 -71 -67 -78 -76 -82 -66 -209 -223 -195 -134 -112 25 -17 31 0 105 -48 116 132 139 47 7 -248 -180 -145 -151 -487 -395 -404 -342 -447 -432 -453 -444 -496 -277 -466 0 -494 -487 -548 -537 -561 -527 -531 -537 -549 -548 -548 -579 -589 -460 -496 86 -661 21 9 569 82 154 108 290 312 379 131 0 0 0 0 ,73.0,7.0,4.0,5.0
62JzD93M,07/22/2022,False,blitz,"Grünfeld Defense: Exchange Variation, Spassky Variation",white,2005,1940,resign,black,,,,,
8Lrlqycg,07/22/2022,False,bullet,Modern Defense,black,1894,1894,resign,black,,,,,
dmDOUIlL,07/22/2022,False,bullet,Queen's Gambit Declined: Three Knights Variation,white,1901,1919,outoftime,black,,,,,
8ob7P920,07/22/2022,False,bullet,Modern Defense,black,1902,1855,draw,,,,,,
QRkpXUnN,07/22/2022,False,bullet,Nimzo-Larsen Attack: Indian Variation,white,1893,1942,resign,white,,,,,
wavolhSk,07/22/2022,False,blitz,Benko Gambit: Zaitsev System,white,1999,1998,resign,white,,,,,
dphUEdEl,07/22/2022,False,blitz,Modern Defense,black,1995,1870,resign,black,,,,,
XbA3SRSe,07/22/2022,False,blitz,Modern Defense,black,2001,2006,outoftime,white,,,,,
bFfJOAuk,07/22/2022,False,blitz,Old Indian Defense,white,1996,1928,resign,white,,,,,
PsFTajf3,07/22/2022,False,blitz,Van't Kruijs Opening,black,2002,2005,mate,white,,,,,
Cl5e6R7K,07/22/2022,False,blitz,Englund Gambit,white,1997,1964,resign,white,,,,,
V5cIStjd,07/22/2022,False,blitz,King's Indian Defense: Normal Variation,white,1998,1920,stalemate,,,,,,
kLuZ5PxM,07/22/2022,False,blitz,"King's Indian Defense: Normal Variation, Rare Defenses",black,1993,1924,resign,black,,,,,
l3exmwvf,07/22/2022,False,blitz,Benoni Defense: King's Pawn Line,white,1989,1929,outoftime,white,,,,,
FBhEirm5,07/22/2022,False,blitz,"Queen's Gambit Declined: Albin Countergambit, Fianchetto Variation, Be6 Line",white,1994,2011,mate,black,,,,,
M8uNjKVX,07/22/2022,False,blitz,"Lion Defense: Anti-Philidor, Lion's Cave",black,2000,1986,outoftime,white,,,,,
wcdDrjmm,07/22/2022,False,blitz,Horwitz Defense,white,2006,1950,resign,black,,,,,
ZGSImq6E,07/22/2022,False,blitz,Pirc Defense,black,2013,1943,resign,white,,,,,
999nZMvs,07/22/2022,False,blitz,Horwitz Defense,white,2008,1948,resign,white,,,,,
sNRPv8Bx,07/22/2022,False,blitz,Pirc Defense,black,2004,1953,resign,black,,,,,
xW0uzET1,07/22/2022,False,blitz,Horwitz Defense,white,1999,1958,resign,white,,,,,
8aBUV70n,07/22/2022,False,blitz,Modern Defense,black,2004,2004,resign,white,,,,,
GTpuAvt8,07/22/2022,False,blitz,Queen's Gambit Declined: Marshall Defense,white,2010,2022,mate,black,,,,,
SkqhKgP0,07/22/2022,False,blitz,Philidor Defense: Lion Variation,black,2004,2018,resign,black,,,,,
3a6vP2UR,07/21/2022,False,blitz,Semi-Slav Defense,white,2009,2039,outoftime,black,,,,,
K6DtFHkN,07/21/2022,False,blitz,Old Indian Defense,white,2004,1963,resign,white,,,,,
9JLJasd6,07/21/2022,False,blitz,Modern Defense,black,2009,2035,resign,white,0 68 25 60 23 13 0 52 62 77 40 40 29 75 61 100 32 89 4 48 9 7 -19 -37 -40 41 15 9 -184 -68 -79 -67 -101 -107 -126 -132 -167 -131 -180 -148 -150 -42 -35 0 -152 -159 -298 -33 -93 0 -258 -256 -228 -261 -253 -214 -325 -270 -482 -512 -499 -85 -77 -100 -142 -16 -487 0 -299 -153 -157 836 893 ,95.0,5.0,4.0,4.0
ysSLnTKp,07/21/2022,False,blitz,"Queen's Gambit Declined: Modern Variation, Normal Line",white,2015,1982,resign,black,0 20 26 30 0 17 0 0 0 17 3 37 31 0 32 42 -8 47 44 48 -21 109 85 111 -64 102 -81 -62 -87 91 0 0 -120 -133 -144 -128 -131 -113 -135 -134 -151 -138 -190 -163 -175 -154 -268 -285 -235 -266 -247 -224 -773 -767 -836 -813 -829 -817 -814 -808 -1219 -1286 -883 -913 -945 -1029 -1039 -1051 -1022 -1069 -1063 -1060 -1038 -1366 -912 -883 -909 -940 -901 -937 -961 ,50.0,4.0,1.0,3.0
TaYM3Btg,07/21/2022,False,blitz,King's Indian Defense: Semi-Classical Variation,black,2009,2044,outoftime,black,,,,,
vywcI5y6,07/21/2022,False,blitz,Pirc Defense,black,2003,1996,outoftime,black,,,,,
eXpiIwzO,07/21/2022,False,blitz,Slav Defense: Exchange Variation,white,2007,2167,resign,black,,,,,
yIOrd0Wx,07/21/2022,False,blitz,Philidor Defense: Lion Variation,black,2001,2008,outoftime,black,,,,,
14wE8vF6,07/21/2022,False,blitz,Pirc Defense: Roscher Gambit,black,2007,1980,outoftime,white,,,,,
MC4qQinv,07/21/2022,False,blitz,Slav Defense: Exchange Variation,white,2001,2005,outoftime,white,,,,,
XIkqo92i,07/21/2022,False,blitz,Queen's Gambit Declined: Marshall Defense,white,1996,1963,mate,white,,,,,
wtWIMYnT,07/20/2022,False,blitz,Pirc Defense,black,2002,1978,resign,white,33 75 29 12 31 73 60 60 49 56 54 61 45 44 35 22 0 25 22 22 17 0 -8 8 -76 56 -96 158 -84 -117 -88 -113 -271 -283 -338 -101 -162 -122 -325 75 54 44 -519 799 800 1058 1071 1676 1464 ,105.0,1.0,1.0,4.0
0mvOmTm5,07/20/2022,False,blitz,Slav Defense: Exchange Variation,white,2008,1998,resign,black,,,,,
